Date,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-01-01,P0001,Groceries,South,343,104,144,112.55,32.8,20,Sunny,1,30.78,Spring
2022-01-01,P0002,Clothing,West,373,141,151,135.62,46.16,10,Rainy,1,45.21,Winter
2022-01-01,P0003,Furniture,East,445,182,119,176.31,20.46,20,Snowy,1,22.0,Spring
2022-01-01,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn
2022-01-01,P0005,Toys,West,281,156,25,150.9,83.29,20,Rainy,0,80.64,Autumn
2022-01-01,P0006,Furniture,North,492,250,168,242.57,85.59,20,Cloudy,0,86.82,Winter
2022-01-01,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer
2022-01-01,P0008,Electronics,West,304,29,99,35.54,66.96,20,Snowy,0,65.36,Summer
2022-01-01,P0009,Clothing,South,113,9,84,14.78,81.29,5,Rainy,1,82.06,Winter
2022-01-01,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter
2022-01-01,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn
2022-01-01,P0012,Groceries,East,281,25,136,37.27,19.56,5,Rainy,1,19.01,Winter
2022-01-01,P0013,Clothing,East,389,283,177,299.7,57.78,20,Cloudy,0,58.5,Spring
2022-01-01,P0014,Electronics,East,465,359,77,370.36,91.28,20,Cloudy,0,90.85,Summer
2022-01-01,P0015,Toys,South,197,129,94,148.55,59.9,15,Sunny,1,55.23,Winter
2022-01-01,P0016,Toys,South,242,63,85,58.07,45.65,20,Rainy,1,42.17,Spring
2022-01-01,P0017,Groceries,West,398,373,92,390.89,11.71,20,Cloudy,1,10.0,Winter
2022-01-01,P0018,Groceries,North,234,160,140,177.41,58.84,5,Cloudy,0,54.39,Summer
2022-01-01,P0019,Toys,East,67,15,186,34.38,84.99,5,Sunny,1,81.02,Winter
2022-01-01,P0020,Toys,West,221,101,38,115.0,87.1,0,Rainy,1,91.56,Spring
2022-01-02,P0001,Electronics,West,402,343,141,339.04,66.57,20,Rainy,1,63.92,Summer
2022-01-02,P0002,Furniture,West,132,71,60,82.44,90.36,5,Rainy,0,86.73,Winter
2022-01-02,P0003,Groceries,West,218,157,31,153.42,92.24,5,Snowy,1,89.57,Autumn
2022-01-02,P0004,Groceries,South,131,88,109,100.61,68.71,0,Snowy,0,69.34,Spring
2022-01-02,P0005,Groceries,North,93,64,128,57.53,87.22,5,Cloudy,1,90.59,Spring
2022-01-02,P0006,Groceries,East,344,273,154,273.1,79.38,0,Rainy,0,77.28,Autumn
2022-01-02,P0007,Groceries,North,340,247,148,264.18,17.41,15,Snowy,0,13.57,Summer
2022-01-02,P0008,Electronics,North,241,42,187,46.32,14.8,15,Sunny,1,13.94,Spring
2022-01-02,P0009,Electronics,North,296,197,157,195.61,30.5,0,Sunny,0,28.86,Spring
2022-01-02,P0010,Groceries,West,472,374,65,387.41,27.84,15,Cloudy,1,32.0,Spring
2022-01-02,P0011,Furniture,East,308,154,22,169.13,88.62,0,Cloudy,0,86.3,Winter
2022-01-02,P0012,Toys,North,434,236,30,239.09,82.35,20,Rainy,0,83.13,Autumn
2022-01-02,P0013,Toys,North,287,278,92,279.91,92.57,10,Sunny,1,97.09,Summer
2022-01-02,P0014,Furniture,West,190,27,134,31.53,94.38,5,Rainy,0,89.47,Autumn
2022-01-02,P0015,Toys,North,353,106,191,110.49,70.59,0,Cloudy,1,75.27,Winter
2022-01-02,P0016,Toys,West,210,154,70,166.83,63.13,10,Sunny,0,67.23,Autumn
2022-01-02,P0017,Clothing,West,193,176,38,174.49,46.04,5,Rainy,1,41.4,Autumn
2022-01-02,P0018,Groceries,East,124,124,46,116.05,21.07,10,Sunny,0,21.71,Autumn
2022-01-02,P0019,Toys,East,492,479,132,469.74,79.11,0,Cloudy,0,80.06,Winter
2022-01-02,P0020,Clothing,South,222,78,42,76.55,64.99,0,Sunny,1,65.4,Summer
2022-01-03,P0001,Toys,North,405,96,171,100.82,48.08,0,Rainy,1,49.4,Autumn
2022-01-03,P0002,Electronics,North,200,48,47,55.45,46.95,15,Snowy,1,43.48,Summer
2022-01-03,P0003,Furniture,West,327,130,166,127.03,94.45,20,Cloudy,1,99.26,Winter
2022-01-03,P0004,Groceries,North,409,11,48,8.25,27.28,10,Snowy,1,28.61,Autumn
2022-01-03,P0005,Groceries,West,327,313,194,326.56,29.74,0,Snowy,1,31.67,Winter
2022-01-03,P0006,Furniture,North,388,352,199,365.82,27.64,5,Snowy,0,27.19,Summer
2022-01-03,P0007,Toys,South,483,265,108,277.23,60.54,5,Rainy,0,55.83,Autumn
2022-01-03,P0008,Furniture,South,70,11,137,23.62,58.55,10,Cloudy,0,63.45,Summer
2022-01-03,P0009,Groceries,South,288,191,29,207.27,58.59,0,Cloudy,0,60.98,Summer
2022-01-03,P0010,Electronics,West,270,185,150,192.21,95.48,0,Rainy,1,91.76,Winter
2022-01-03,P0011,Clothing,North,217,143,66,154.26,37.81,20,Snowy,1,37.14,Autumn
2022-01-03,P0012,Electronics,West,221,85,84,104.48,48.7,10,Rainy,0,51.33,Spring
2022-01-03,P0013,Groceries,West,303,270,164,268.73,65.89,10,Cloudy,0,64.52,Summer
2022-01-03,P0014,Groceries,West,298,233,143,245.02,20.37,0,Rainy,1,23.3,Spring
2022-01-03,P0015,Furniture,West,193,187,57,177.8,46.25,0,Snowy,0,49.2,Spring
2022-01-03,P0016,Electronics,South,205,39,147,37.83,71.74,10,Rainy,0,76.17,Winter
2022-01-03,P0017,Toys,West,427,234,195,231.16,20.57,10,Rainy,1,22.24,Autumn
2022-01-03,P0018,Clothing,South,365,213,106,208.31,29.88,20,Rainy,1,25.73,Autumn
2022-01-03,P0019,Clothing,North,111,55,163,71.88,73.98,15,Rainy,1,73.5,Winter
2022-01-03,P0020,Groceries,South,271,22,178,15.3,45.02,10,Sunny,0,47.01,Spring
2022-01-04,P0001,Clothing,North,108,83,25,85.5,45.49,5,Sunny,1,44.33,Spring
2022-01-04,P0002,Furniture,West,109,60,172,71.47,52.33,10,Cloudy,1,51.78,Summer
2022-01-04,P0003,Toys,North,493,448,113,459.44,41.55,15,Rainy,0,44.02,Winter
2022-01-04,P0004,Toys,East,289,11,21,26.96,58.13,0,Sunny,1,61.63,Summer
2022-01-04,P0005,Groceries,East,425,390,175,407.4,25.67,10,Snowy,0,23.55,Spring
2022-01-04,P0006,Clothing,West,118,81,139,88.67,33.96,0,Sunny,0,29.22,Summer
2022-01-04,P0007,Electronics,North,449,121,118,132.54,81.35,20,Cloudy,0,82.18,Spring
2022-01-04,P0008,Groceries,West,184,44,152,52.26,57.34,20,Rainy,0,56.99,Spring
2022-01-04,P0009,Toys,East,239,88,31,104.13,50.36,15,Cloudy,0,47.77,Winter
2022-01-04,P0010,Groceries,West,216,142,172,138.75,51.34,15,Rainy,1,53.35,Autumn
2022-01-04,P0011,Toys,North,291,48,69,48.65,13.09,20,Snowy,1,11.98,Summer
2022-01-04,P0012,Electronics,North,74,61,87,67.72,94.85,0,Cloudy,0,93.92,Winter
2022-01-04,P0013,Electronics,East,429,140,180,151.22,16.47,5,Sunny,0,17.47,Summer
2022-01-04,P0014,Toys,West,467,390,188,408.18,82.15,15,Cloudy,1,79.63,Summer
2022-01-04,P0015,Toys,North,121,91,197,93.99,61.13,5,Rainy,0,62.56,Summer
2022-01-04,P0016,Groceries,East,134,32,107,32.03,63.74,10,Snowy,0,61.83,Winter
2022-01-04,P0017,Electronics,East,152,60,92,54.96,66.78,10,Snowy,1,67.89,Winter
2022-01-04,P0018,Clothing,South,236,206,63,220.44,30.12,15,Sunny,1,27.89,Winter
2022-01-04,P0019,Groceries,West,253,108,36,107.84,31.26,10,Sunny,1,33.52,Summer
2022-01-04,P0020,Furniture,East,403,349,42,340.49,21.47,0,Rainy,0,17.22,Winter
