Date,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-01-01,P0001,Toys,West,111,77,60,83.47,70.33,10,Cloudy,0,70.29,Winter
2022-01-01,P0002,Clothing,West,415,298,107,292.96,57.15,5,Snowy,1,60.71,Autumn
2022-01-01,P0003,Electronics,North,384,64,26,76.02,36.17,5,Sunny,0,40.93,Spring
2022-01-01,P0004,Furniture,West,436,300,174,292.04,50.77,15,Snowy,1,54.7,Spring
2022-01-01,P0005,Clothing,West,180,21,47,38.63,92.86,15,Rainy,1,96.3,Winter
2022-01-01,P0006,Groceries,North,185,176,163,174.06,60.76,20,Cloudy,0,61.15,Summer
2022-01-01,P0007,Clothing,South,292,131,140,122.6,46.47,15,Snowy,0,50.84,Summer
2022-01-01,P0008,Toys,West,478,317,197,328.64,34.08,5,Snowy,1,30.44,Winter
2022-01-01,P0009,Groceries,West,182,97,27,92.62,87.81,5,Snowy,0,85.45,Spring
2022-01-01,P0010,Clothing,East,87,8,141,14.38,37.04,10,Rainy,1,36.87,Summer
2022-01-01,P0011,Groceries,West,427,104,128,94.65,54.12,10,Rainy,1,53.03,Summer
2022-01-01,P0012,Electronics,West,245,87,188,90.59,67.64,15,Sunny,0,63.53,Summer
2022-01-01,P0013,Furniture,South,317,238,95,256.57,82.18,5,Cloudy,0,87.09,Summer
2022-01-01,P0014,Electronics,South,325,171,43,188.55,42.62,20,Cloudy,1,42.01,Autumn
2022-01-01,P0015,Furniture,West,411,250,119,260.79,11.54,10,Cloudy,0,11.27,Spring
2022-01-01,P0016,Clothing,South,71,11,32,1.85,16.3,5,Sunny,0,17.98,Winter
2022-01-01,P0017,Electronics,East,388,371,98,390.04,98.31,15,Sunny,1,102.42,Spring
2022-01-01,P0018,Furniture,West,161,107,66,103.97,48.96,10,Snowy,1,50.03,Spring
2022-01-01,P0019,Groceries,South,235,106,124,119.33,88.22,5,Rainy,0,91.16,Spring
2022-01-01,P0020,Electronics,South,108,101,52,105.92,11.04,10,Snowy,1,9.14,Autumn
2022-01-02,P0001,Groceries,East,223,67,53,74.8,67.49,5,Sunny,0,65.24,Winter
2022-01-02,P0002,Furniture,West,100,15,114,28.97,66.05,10,Sunny,1,65.16,Autumn
2022-01-02,P0003,Toys,West,397,333,35,336.02,80.88,20,Rainy,1,84.97,Winter
2022-01-02,P0004,Groceries,North,442,56,38,54.08,60.5,10,Cloudy,1,64.88,Spring
2022-01-02,P0005,Furniture,West,411,165,194,172.41,71.72,20,Rainy,0,75.17,Autumn
2022-01-02,P0006,Clothing,North,76,54,175,49.32,69.21,15,Rainy,1,71.17,Summer
2022-01-02,P0007,Clothing,East,257,93,148,84.69,70.69,20,Snowy,0,71.37,Winter
2022-01-02,P0008,Furniture,East,353,250,57,254.75,63.54,15,Cloudy,0,61.05,Summer
2022-01-02,P0009,Electronics,West,119,90,76,99.63,78.08,10,Sunny,0,73.69,Winter
2022-01-02,P0010,Furniture,West,403,83,77,84.32,43.09,10,Sunny,1,47.02,Spring
2022-01-02,P0011,Electronics,East,60,16,149,23.98,25.67,5,Sunny,1,27.78,Winter
2022-01-02,P0012,Toys,West,182,87,121,83.13,38.59,20,Rainy,0,33.87,Spring
2022-01-02,P0013,Furniture,East,455,241,136,235.03,57.99,5,Sunny,0,55.4,Spring
2022-01-02,P0014,Toys,South,437,286,116,282.52,14.65,20,Snowy,1,13.12,Winter
2022-01-02,P0015,Clothing,West,289,60,83,52.77,63.26,0,Rainy,1,61.02,Autumn
2022-01-02,P0016,Groceries,East,487,437,106,432.86,43.64,15,Cloudy,1,39.13,Autumn
2022-01-02,P0017,Toys,North,418,377,76,383.26,84.85,20,Sunny,1,84.29,Summer
2022-01-02,P0018,Clothing,West,89,83,113,78.67,47.05,15,Rainy,1,47.89,Spring
2022-01-02,P0019,Clothing,West,421,203,152,220.23,76.83,20,Snowy,0,75.86,Spring
2022-01-02,P0020,Clothing,South,211,183,189,190.11,93.95,10,Sunny,1,98.89,Spring
2022-01-03,P0001,Groceries,North,159,3,145,18.12,36.3,0,Snowy,0,34.96,Winter
2022-01-03,P0002,Electronics,North,322,59,111,78.35,82.08,10,Sunny,1,84.13,Spring
2022-01-03,P0003,Groceries,East,106,15,101,25.13,46.4,20,Snowy,0,49.42,Summer
2022-01-03,P0004,Groceries,South,475,351,132,358.12,59.76,5,Cloudy,0,57.14,Spring
2022-01-03,P0005,Groceries,North,83,66,57,63.37,60.35,20,Sunny,1,60.81,Winter
2022-01-03,P0006,Groceries,West,117,62,58,59.04,40.61,10,Snowy,1,44.37,Autumn
2022-01-03,P0007,Clothing,West,368,77,44,95.69,63.61,5,Rainy,1,63.81,Winter
2022-01-03,P0008,Electronics,South,207,177,154,173.93,97.09,5,Snowy,1,95.17,Summer
2022-01-03,P0009,Electronics,West,398,349,98,350.47,52.72,10,Sunny,0,55.74,Winter
2022-01-03,P0010,Groceries,North,476,74,25,91.48,14.41,20,Sunny,1,11.25,Spring
2022-01-03,P0011,Groceries,North,119,40,151,43.92,74.14,0,Cloudy,1,69.67,Winter
2022-01-03,P0012,Toys,North,77,72,27,68.01,46.94,20,Rainy,1,46.58,Winter
2022-01-03,P0013,Toys,South,191,190,126,205.54,23.04,5,Snowy,0,19.33,Autumn
2022-01-03,P0014,Toys,North,419,263,189,263.83,28.02,5,Sunny,1,23.72,Autumn
2022-01-03,P0015,Toys,South,184,126,175,143.76,86.82,20,Cloudy,0,85.26,Autumn
2022-01-03,P0016,Clothing,North,361,17,171,25.61,80.31,5,Cloudy,1,76.56,Spring
2022-01-03,P0017,Toys,East,154,19,116,37.45,41.28,10,Rainy,0,40.59,Spring
2022-01-03,P0018,Toys,North,376,36,53,43.47,38.42,0,Snowy,1,35.98,Winter
2022-01-03,P0019,Toys,North,268,207,177,198.44,59.93,20,Snowy,0,64.67,Autumn
2022-01-03,P0020,Toys,South,451,91,193,99.88,66.76,5,Sunny,0,62.53,Summer
2022-01-04,P0001,Furniture,North,383,195,175,214.04,21.71,20,Rainy,0,24.12,Winter
2022-01-04,P0002,Furniture,West,495,33,75,36.13,40.56,5,Rainy,1,39.9,Winter
2022-01-04,P0003,Toys,South,439,263,107,266.77,29.2,5,Snowy,0,30.66,Winter
2022-01-04,P0004,Toys,West,101,83,94,97.81,82.18,20,Cloudy,1,78.43,Summer
2022-01-04,P0005,Toys,South,292,78,25,85.65,45.85,15,Sunny,1,43.84,Autumn
2022-01-04,P0006,Clothing,West,466,118,75,133.87,42.08,10,Sunny,0,37.49,Summer
2022-01-04,P0007,Clothing,North,175,147,130,141.44,51.22,10,Cloudy,1,54.22,Spring
2022-01-04,P0008,Furniture,South,327,216,124,233.51,62.03,20,Cloudy,0,64.13,Summer
2022-01-04,P0009,Groceries,West,194,27,43,26.91,36.53,15,Snowy,1,35.63,Spring
2022-01-04,P0010,Electronics,North,349,172,189,171.35,84.66,5,Rainy,1,79.81,Winter
2022-01-04,P0011,Toys,West,237,78,192,77.14,39.15,0,Snowy,1,35.15,Autumn
2022-01-04,P0012,Clothing,South,220,196,82,187.61,45.65,15,Cloudy,1,48.04,Summer
2022-01-04,P0013,Groceries,North,86,75,153,72.27,40.27,15,Sunny,1,41.66,Summer
2022-01-04,P0014,Toys,West,334,11,179,8.45,82.99,15,Snowy,1,87.85,Spring
2022-01-04,P0015,Clothing,West,186,144,197,150.43,60.15,20,Cloudy,1,61.9,Summer
2022-01-04,P0016,Electronics,North,288,200,180,216.05,15.19,10,Sunny,0,12.13,Winter
2022-01-04,P0017,Toys,North,460,256,107,252.35,37.46,20,Cloudy,1,33.09,Autumn
2022-01-04,P0018,Groceries,East,482,118,168,137.7,34.44,10,Cloudy,0,33.51,Spring
2022-01-04,P0019,Toys,North,278,244,24,259.18,84.99,20,Rainy,0,85.21,Autumn
2022-01-04,P0020,Furniture,West,128,54,139,62.09,81.63,10,Rainy,0,78.32,Autumn
2022-01-05,P0001,Toys,South,371,74,115,93.27,40.47,20,Cloudy,0,40.3,Spring
2022-01-05,P0002,Toys,West,98,59,94,62.06,26.25,15,Snowy,1,28.27,Autumn
2022-01-05,P0003,Electronics,South,318,150,171,145.3,82.08,5,Rainy,0,82.7,Spring
2022-01-05,P0004,Groceries,North,200,135,192,145.91,50.59,15,Sunny,0,54.05,Spring
2022-01-05,P0005,Toys,West,299,79,117,97.08,49.08,5,Rainy,0,45.5,Spring
2022-01-05,P0006,Groceries,South,392,62,125,68.41,12.38,0,Rainy,1,16.24,Summer
2022-01-05,P0007,Clothing,East,399,130,77,123.53,49.02,20,Cloudy,0,53.33,Autumn
2022-01-05,P0008,Toys,North,192,74,116,66.44,27.8,10,Sunny,1,31.34,Summer
2022-01-05,P0009,Clothing,West,149,16,23,34.95,59.13,10,Rainy,0,59.09,Summer
2022-01-05,P0010,Furniture,North,406,342,195,353.01,43.1,5,Cloudy,1,42.19,Summer
2022-01-05,P0011,Electronics,South,91,48,155,51.37,13.33,5,Cloudy,0,13.1,Autumn
2022-01-05,P0012,Clothing,East,228,224,147,218.16,98.66,10,Snowy,0,103.3,Spring
2022-01-05,P0013,Electronics,South,68,64,54,71.81,39.8,15,Rainy,1,35.38,Summer
2022-01-05,P0014,Toys,North,358,322,36,316.68,86.26,10,Rainy,0,85.97,Summer
2022-01-05,P0015,Toys,South,361,264,75,258.32,85.81,10,Snowy,1,89.25,Summer
2022-01-05,P0016,Electronics,West,371,343,98,350.28,58.21,20,Rainy,0,57.49,Spring
2022-01-05,P0017,Groceries,East,231,15,107,26.67,74.42,5,Cloudy,0,73.86,Summer
2022-01-05,P0018,Toys,East,269,90,109,105.45,53.06,10,Sunny,0,56.0,Summer
2022-01-05,P0019,Clothing,South,444,143,196,153.0,61.9,15,Snowy,0,60.14,Autumn
2022-01-05,P0020,Groceries,South,243,36,107,47.12,53.65,20,Cloudy,1,49.72,Winter
2022-01-06,P0001,Clothing,West,333,195,37,213.22,34.92,15,Rainy,1,34.3,Autumn
2022-01-06,P0002,Furniture,South,387,35,23,32.63,92.42,10,Rainy,0,92.19,Summer
2022-01-06,P0003,Clothing,West,186,96,139,106.59,60.14,10,Rainy,0,62.06,Spring
2022-01-06,P0004,Electronics,East,313,219,44,212.71,69.02,15,Sunny,0,73.68,Autumn
2022-01-06,P0005,Toys,East,121,14,87,33.09,52.41,20,Snowy,1,47.58,Winter
2022-01-06,P0006,Toys,South,475,14,50,10.62,58.85,20,Rainy,1,58.68,Spring
2022-01-06,P0007,Groceries,West,87,39,187,33.84,58.4,20,Snowy,0,55.85,Autumn
2022-01-06,P0008,Toys,West,279,162,79,181.89,81.97,0,Rainy,0,78.8,Summer
2022-01-06,P0009,Toys,South,87,70,44,81.01,46.58,0,Sunny,1,43.42,Autumn
2022-01-06,P0010,Toys,South,94,64,176,67.98,53.15,20,Snowy,0,57.29,Autumn
2022-01-06,P0011,Clothing,South,248,83,20,94.6,86.35,10,Rainy,0,86.19,Summer
2022-01-06,P0012,Groceries,South,385,171,24,165.78,57.72,0,Cloudy,1,55.53,Winter
2022-01-06,P0013,Furniture,South,395,101,146,92.71,89.13,5,Snowy,1,90.39,Spring
2022-01-06,P0014,Furniture,West,134,128,165,147.93,25.88,5,Snowy,0,27.34,Autumn
2022-01-06,P0015,Electronics,East,185,7,89,13.56,38.71,15,Rainy,0,38.56,Spring
2022-01-06,P0016,Clothing,South,223,15,186,29.69,97.79,15,Cloudy,0,102.66,Summer
2022-01-06,P0017,Furniture,East,495,250,161,250.0,49.83,15,Snowy,0,45.99,Autumn
2022-01-06,P0018,Furniture,East,200,192,71,188.42,41.02,15,Snowy,1,39.59,Winter
2022-01-06,P0019,Toys,North,244,149,129,150.77,50.18,15,Rainy,0,54.25,Spring
2022-01-06,P0020,Furniture,West,74,7,82,6.64,92.93,20,Sunny,1,89.89,Winter
2022-01-07,P0001,Groceries,East,227,97,77,97.73,41.28,15,Snowy,1,44.0,Spring
2022-01-07,P0002,Electronics,West,406,297,38,295.38,71.78,0,Rainy,0,69.36,Autumn
2022-01-07,P0003,Furniture,South,342,197,26,208.73,31.15,10,Snowy,0,30.62,Winter
2022-01-07,P0004,Clothing,West,125,32,149,28.25,85.3,15,Snowy,0,86.87,Summer
2022-01-07,P0005,Toys,South,140,131,130,138.96,60.88,0,Rainy,1,58.4,Spring
2022-01-07,P0006,Electronics,East,370,284,135,303.93,49.36,15,Snowy,0,49.55,Winter
2022-01-07,P0007,Toys,North,441,246,68,260.89,76.42,5,Cloudy,0,72.96,Summer
2022-01-07,P0008,Clothing,North,498,139,125,158.49,95.46,5,Snowy,1,99.22,Summer
2022-01-07,P0009,Furniture,West,213,182,122,176.48,25.51,0,Cloudy,1,24.02,Autumn
2022-01-07,P0010,Furniture,South,260,164,151,155.35,61.24,0,Sunny,1,58.08,Summer
2022-01-07,P0011,Furniture,South,453,438,31,456.22,81.95,15,Sunny,0,78.29,Winter
2022-01-07,P0012,Groceries,South,454,59,35,52.42,51.76,20,Rainy,1,55.96,Winter
2022-01-07,P0013,Toys,North,129,88,177,89.85,47.68,20,Cloudy,1,44.19,Winter
