Date,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-01-01,P0001,Toys,South,241,147,180,161.09,67.21,5,Sunny,1,67.39,Summer
2022-01-01,P0002,Electronics,West,115,4,169,11.11,28.2,10,Sunny,1,25.63,Spring
2022-01-01,P0003,Groceries,South,375,77,145,75.04,56.16,10,Sunny,1,57.16,Spring
2022-01-01,P0004,Toys,South,153,31,145,42.99,89.53,20,Rainy,1,93.6,Winter
2022-01-01,P0005,Clothing,West,438,325,20,330.92,97.95,20,Sunny,0,93.54,Winter
2022-01-01,P0006,Groceries,North,456,163,22,159.17,76.37,5,Rainy,1,71.38,Summer
2022-01-01,P0007,Electronics,North,189,34,107,26.91,86.99,15,Rainy,1,90.5,Summer
2022-01-01,P0008,Toys,North,223,47,107,45.48,66.53,15,Cloudy,1,70.46,Spring
2022-01-01,P0009,Groceries,South,381,15,184,30.05,74.86,15,Snowy,1,73.93,Winter
2022-01-01,P0010,Groceries,South,166,126,124,141.34,97.09,5,Rainy,1,95.8,Summer
2022-01-01,P0011,Toys,East,292,232,155,242.02,56.19,0,Snowy,1,57.85,Winter
2022-01-01,P0012,Electronics,North,311,175,55,176.75,90.38,20,Cloudy,0,89.52,Summer
2022-01-01,P0013,Furniture,North,51,17,172,12.86,73.98,20,Cloudy,1,76.65,Summer
2022-01-01,P0014,Electronics,South,398,369,26,387.88,79.03,5,Rainy,0,82.51,Spring
2022-01-01,P0015,Clothing,West,445,260,24,266.36,27.72,5,Snowy,0,23.28,Autumn
2022-01-01,P0016,Groceries,South,487,347,93,349.36,98.18,15,Rainy,0,99.58,Winter
2022-01-01,P0017,Clothing,East,429,150,168,157.82,27.1,5,Cloudy,1,27.4,Spring
2022-01-01,P0018,Toys,West,204,70,170,83.01,97.08,15,Snowy,1,94.88,Winter
2022-01-01,P0019,Clothing,East,330,249,37,268.25,26.71,15,Cloudy,1,24.81,Summer
2022-01-01,P0020,Electronics,North,431,370,99,387.57,95.85,20,Cloudy,1,95.7,Spring
2022-01-02,P0001,Toys,West,277,114,40,132.41,73.48,10,Cloudy,0,72.55,Autumn
2022-01-02,P0002,Groceries,East,175,2,140,-3.4,87.5,0,Rainy,0,91.2,Autumn
2022-01-02,P0003,Toys,East,157,7,187,22.8,88.68,20,Cloudy,1,87.38,Autumn
2022-01-02,P0004,Furniture,West,120,54,154,49.64,82.36,20,Snowy,0,85.85,Autumn
2022-01-02,P0005,Furniture,East,375,282,61,297.42,38.56,5,Cloudy,0,36.57,Winter
2022-01-02,P0006,Groceries,East,302,93,33,106.58,97.74,0,Cloudy,0,97.69,Winter
2022-01-02,P0007,Electronics,West,375,85,40,85.31,37.68,15,Cloudy,0,36.72,Autumn
2022-01-02,P0008,Clothing,South,248,136,50,130.52,36.03,5,Rainy,0,37.49,Spring
2022-01-02,P0009,Electronics,West,219,140,196,139.46,88.97,0,Snowy,1,91.53,Spring
2022-01-02,P0010,Furniture,West,146,79,155,94.23,16.48,10,Cloudy,1,21.42,Spring
2022-01-02,P0011,Furniture,South,218,106,111,117.65,58.37,10,Cloudy,1,58.1,Autumn
2022-01-02,P0012,Groceries,West,260,1,142,1.99,27.86,5,Snowy,1,31.78,Winter
2022-01-02,P0013,Electronics,West,414,203,53,206.35,39.14,5,Rainy,1,35.3,Autumn
2022-01-02,P0014,Toys,North,420,368,71,384.47,66.51,0,Cloudy,0,70.84,Spring
2022-01-02,P0015,Electronics,East,435,286,159,283.25,89.65,20,Snowy,0,84.99,Winter
2022-01-02,P0016,Clothing,South,230,69,173,70.77,86.7,20,Rainy,0,91.05,Spring
2022-01-02,P0017,Toys,South,456,52,78,65.67,29.69,20,Snowy,0,25.27,Summer
2022-01-02,P0018,Toys,East,319,109,83,126.67,86.93,10,Rainy,1,82.59,Winter
2022-01-02,P0019,Furniture,North,59,50,135,44.37,59.33,10,Cloudy,0,54.98,Spring
2022-01-02,P0020,Electronics,East,155,0,92,9.42,57.07,10,Rainy,1,53.34,Summer
